-10.0000 0.0000 10.0000 0.0000 0.0000
-10.0000 -10.0000 -10.0000 -10.0000 -10.0000
-7.0000 -8.0000 -3.0000 -6.0000 -7.0000
-1.0000 -5.0000 -7.0000 -4.3333 -5.0000
-1.5000 -1.0000 -1.5000 -1.3333 -1.5000
7.3943 8.4386 -3.9296 3.9678 7.3943
-3.8123 10.0000 2.6347 2.9408 2.6347
7.4000 3.7004 9.0204 6.7069 7.4000
1.1386 1.2396 1.3004 1.2262 1.2396
-9.0506 -9.0506 -0.9222 -6.3411 -9.0506
0.0000 0.0000 0.0000 0.0000 0.0000
-3.5000 -7.5000 3.5000 -2.5000 -3.5000
6.1665 -5.7342 2.3341 0.9221 2.3341
6.0234 -2.0527 9.0235 4.3314 6.0234
8.0000 -10.0000 2.0000 0.0000 2.0000
1.3396 2.4444 4.1112 2.6317 2.4444
-9.8888 -7.9999 -8.1111 -8.6666 -8.1111
9.9341 9.9000 9.8101 9.8814 9.9000
0.0000 10.0000 -10.0000 0.0000 0.0000
10.0000 0.0000 0.1000 3.3667 0.1000
-9.0000 -7.8000 -3.2001 -6.6667 -7.8000
4.5555 6.4444 -10.0000 0.3333 4.5555
4.6001 -4.6001 -4.6001 -1.5334 -4.6001
7.7111 7.7111 7.7111 7.7111 7.7111
0.7232 -0.6232 0.6232 0.2441 0.6232
1.0333 1.1333 1.2333 1.1333 1.1333
-8.7593 -8.9059 -8.0964 -8.5872 -8.7593
3.5835 -7.8834 5.2332 0.3111 3.5835
6.2395 -2.3003 4.8204 2.9199 4.8204
-6.7224 -7.6264 10.0000 -1.4496 -6.7224
